fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
Q04759_pIC50	0.582589	0.592731	0.613312	0.606665	0.504007	0.592172	0.502901	0.612051	0.578522	0.670562	0.545869	0.614917	0.591198	0.666068	0.5	0.507388
Q06187_pIC50	0.605019	0.631041	0.641021	0.64317	0.507136	0.611665	0.5	0.555525	0.5642	0.549289	0.531124	0.555629	0.5432	0.551696	0.543588	0.586241
Q08881_pIC50	0.652474	0.64467	0.675726	0.675643	0.663018	0.672346	0.623289	0.644438	0.611238	0.643302	0.639515	0.636743	0.691881	0.639856	0.597758	0.644999
Q13258_pIC50	0.740658	0.732403	0.705418	0.734699	0.540632	0.736295	0.498334	0.67229	0.6455	0.651141	0.562332	0.707115	0.608009	0.706759	0.76947	0.732918
Q13464_pIC50	0.767231	0.772644	0.730088	0.744222	0.776409	0.761484	0.745119	0.741685	0.727371	0.727371	0.692931	0.712932	0.698659	0.713009	0.651224	0.685285
Q13490_pIC50	0.723454	0.705272	0.673862	0.700408	0.5	0.5	0.5	0.5	0.708135	0.708135	0.680362	0.658088	0.69045	0.660543	0.69795	0.67295
Q13822_pKi	0.652085	0.738333	0.699166	0.615001	0.555	0.713332	0.633749	0.714167	0.733751	0.733751	0.716667	0.716667	0.5	0.5	0.5	0.6325
Q16581_pIC50	0.778807	0.788929	0.790477	0.780477	0.70131	0.805476	0.794404	0.788094	0.645594	0.732975	0.701192	0.740358	0.5	0.5	0.5	0.5
Q16832_pKd	0.719166	0.742499	0.781667	0.741666	0.781667	0.840834	0.781667	0.781667	0.604167	0.685	0.660001	0.603333	0.588333	0.588333	0.57	0.57
Q5NUL3_pEC50	0.793293	0.790514	0.787987	0.814486	0.776931	0.770737	0.732485	0.813362	0.76432	0.802347	0.749097	0.746417	0.740028	0.782667	0.730778	0.776903
Q6V1X1_pKi	0.860417	0.860417	0.894501	0.874417	0.895334	0.905999	0.895334	0.895334	0.890001	0.890001	0.888	0.888	0.895334	0.905999	0.895334	0.904666
Q7Z2W7_pIC50	0.776389	0.708611	0.751808	0.751808	0.5	0.5	0.5	0.5	0.772778	0.741946	0.74382	0.74382	0.492637	0.736389	0.654861	0.761041
Q7Z601_pEC50	0.692024	0.666071	0.656191	0.656191	0.5	0.5	0.5	0.5	0.689999	0.616429	0.688332	0.637381	0.5	0.642619	0.5	0.5
Q8WUI4_pIC50	0.718583	0.68975	0.728585	0.709332	0.526584	0.743002	0.5	0.644999	0.694333	0.694333	0.626334	0.652832	0.725749	0.834168	0.700833	0.731333
Q92731_pEC50	0.710185	0.708302	0.700535	0.729836	0.699032	0.694478	0.693244	0.704156	0.715944	0.744756	0.668796	0.711808	0.650736	0.715242	0.674514	0.724097
Q92769_pIC50	0.694506	0.698268	0.691536	0.696893	0.582476	0.661573	0.672085	0.66709	0.718148	0.717058	0.668949	0.668833	0.69377	0.706297	0.655295	0.693693
Q92847_pEC50	0.645279	0.636408	0.604644	0.609512	0.5	0.638228	0.5	0.523614	0.645091	0.645091	0.649504	0.632263	0.598442	0.678461	0.511705	0.62116
Q92847_pKi	0.840225	0.837308	0.853236	0.853236	0.85516	0.865384	0.85516	0.809775	0.783589	0.784776	0.836892	0.83689	0.813813	0.813813	0.684295	0.794999
Q96S37_pIC50	0.595416	0.546665	0.602084	0.701667	0.727501	0.657082	0.741667	0.685832	0.65125	0.65	0.699999	0.612084	0.741667	0.667498	0.741667	0.743335
Q99250_pIC50	0.718917	0.774919	0.722166	0.722166	0.659252	0.659252	0.659252	0.659252	0.776251	0.769	0.756332	0.761334	0.576164	0.576164	0.720416	0.68625
Q99500_pIC50	0.869637	0.873972	0.845951	0.85765	0.855657	0.876503	0.84719	0.854323	0.883533	0.885073	0.862799	0.858276	0.846801	0.884032	0.840777	0.858382
Q99720_pIC50	0.744832	0.750839	0.685706	0.708976	0.728815	0.75525	0.715309	0.722532	0.678815	0.692437	0.669842	0.683969	0.540203	0.686772	0.496984	0.651898
Q99720_pKi	0.694862	0.71179	0.650321	0.68683	0.569507	0.720992	0.504451	0.678417	0.686812	0.69793	0.646895	0.652751	0.5	0.697421	0.499823	0.659055
Q9H5J4_pIC50	0.57738	0.603454	0.536904	0.545714	0.55988	0.601784	0.531547	0.531547	0.684046	0.568215	0.5	0.570238	NA	NA	NA	NA
Q9UGN5_pIC50	0.6975	0.7275	0.6225	0.6475	0.5	0.6	0.5	0.6	0.695	0.73	0.4925	0.6	NA	0.5	NA	NA
Q9UNQ0_pEC50	0.7635	0.759	0.75025	0.74925	0.7325	0.7235	0.7325	0.7325	0.69975	0.6955	0.6955	0.70125	0.4685	0.721	0.45175	0.7925
Q9Y271_pKi	0.820835	0.820835	0.810239	0.810239	0.849167	0.849167	0.849167	0.849167	0.840592	0.840592	0.842262	0.842262	0.799404	0.831546	0.768931	0.819643
Q9Y5Y4_pIC50	0.541604	0.544136	0.551295	0.554136	0.509628	0.552038	0.531171	0.545924	0.550617	0.567284	0.520371	0.507408	0.503333	0.540186	0.5	0.520555
